gid,team,inn1,inn2,inn3,inn4,inn5,inn6,inn7,inn8,inn9,inn10,inn11,inn12,inn13,inn14,inn15,inn16,inn17,inn18,inn19,inn20,inn21,inn22,inn23,inn24,inn25,inn26,inn27,inn28,lob,mgr,stattype,b_pa,b_ab,b_r,b_h,b_d,b_t,b_hr,b_rbi,b_sh,b_sf,b_hbp,b_w,b_iw,b_k,b_sb,b_cs,b_gdp,b_xi,b_roe,p_ipouts,p_noout,p_bfp,p_h,p_d,p_t,p_hr,p_r,p_er,p_w,p_iw,p_k,p_hbp,p_wp,p_bk,p_sh,p_sf,p_sb,p_cs,p_pb,d_po,d_a,d_e,d_dp,d_tp,d_pb,d_wp,d_sb,d_cs,start_l1,start_l2,start_l3,start_l4,start_l5,start_l6,start_l7,start_l8,start_l9,start_f1,start_f2,start_f3,start_f4,start_f5,start_f6,start_f7,start_f8,start_f9,start_f10,date,number,site,vishome,opp,win,loss,tie,gametype,box,pbp
SLN201309250,WAS,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,5,johnd105,value,33,30,1,5,0,0,0,1,0,0,0,3,0,6,1,0,2,0,0,24,0,31,6,2,0,1,4,4,0,0,2,1,0,0,1,0,0,0,0,24,10,1,1,0,0,0,0,0,spand001,zimmr001,wertj001,harpb003,desmi001,laroa001,ramow001,lombs002,zimmj003,zimmj003,ramow001,laroa001,lombs002,zimmr001,desmi001,harpb003,spand001,wertj001,,20130925,0,STL10,v,SLN,0,1,0,regular,y,y
SLN201309250,SLN,0,0,1,2,0,1,0,0,,,,,,,,,,,,,,,,,,,,,3,mathm001,value,31,29,4,6,2,0,1,4,1,0,1,0,0,2,0,0,1,0,1,27,0,33,5,0,0,0,1,1,3,0,6,0,0,0,0,0,1,0,0,27,12,0,2,0,0,0,1,0,carpm002,beltc001,hollm001,adamm002,moliy001,jay-j001,freed001,descd001,mills001,mills001,moliy001,adamm002,carpm002,freed001,descd001,hollm001,jay-j001,beltc001,,20130925,0,STL10,h,WAS,1,0,0,regular,y,y
TEX201309250,HOU,0,0,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,7,portb001,value,37,35,3,8,1,0,1,3,0,0,0,2,0,12,0,0,0,0,0,24,0,38,7,2,0,1,7,6,4,0,6,1,2,0,0,0,2,0,0,24,11,2,0,0,0,2,2,0,villj001,altuj001,domim001,cartc002,martj006,lairb001,hoesl001,clarc001,barnb002,keucd001,clarc001,cartc002,altuj001,domim001,villj001,martj006,barnb002,hoesl001,lairb001,20130925,0,ARL02,v,TEX,0,1,0,regular,y,y
TEX201309250,TEX,0,0,1,5,0,1,0,0,,,,,,,,,,,,,,,,,,,,,7,washr001,value,38,32,7,7,2,0,1,7,0,0,1,4,0,6,2,0,0,1,1,27,0,37,8,1,0,1,3,3,2,0,12,0,2,0,0,0,0,0,0,27,11,1,0,0,0,2,0,0,kinsi001,andre001,riosa002,belta001,piera001,bakej001,morem001,gentc001,martl004,perem004,piera001,morem001,kinsi001,belta001,andre001,gentc001,martl004,riosa002,bakej001,20130925,0,ARL02,h,HOU,1,0,0,regular,y,y
ATL201309260,PHI,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,8,sandr001,value,36,36,1,9,2,0,0,1,0,0,0,0,0,5,0,0,0,0,1,24,0,42,12,6,0,1,7,7,6,0,10,0,1,0,0,0,1,0,0,24,9,1,0,0,0,1,1,0,hernc005,rollj001,browd004,ruf-d001,frank001,aschc001,krate001,galvf001,cloyt001,cloyt001,krate001,frank001,galvf001,aschc001,rollj001,browd004,hernc005,ruf-d001,,20130926,0,ATL02,v,ATL,0,1,0,regular,y,y
ATL201309260,ATL,5,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,11,gonzf801,value,42,36,7,12,6,0,1,7,0,0,0,6,0,10,1,0,0,0,0,27,0,36,9,2,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,27,14,1,0,0,0,0,0,0,heywj001,johne002,freef001,gatte001,mccab002,johnc003,simma001,schaj002,haled001,haled001,mccab002,freef001,johne002,johnc003,simma001,gatte001,heywj001,schaj002,,20130926,0,ATL02,h,PHI,1,0,0,regular,y,y
BAL201309260,TOR,1,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,7,gibbj001,value,36,35,2,6,2,0,0,1,0,0,0,1,0,8,0,0,0,0,2,24,0,30,9,3,0,1,3,3,0,0,5,0,0,0,0,1,0,0,0,24,10,0,3,0,0,0,0,0,reyej001,kawam001,lawrb002,sierm001,gosea001,arenj001,langr002,goinr001,pillk001,buehm001,arenj001,langr002,goinr001,lawrb002,reyej001,pillk001,gosea001,sierm001,kawam001,20130926,0,BAL12,v,BAL,0,1,0,regular,y,y
BAL201309260,BAL,0,1,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,3,showb801,value,30,29,3,9,3,0,1,3,0,1,0,0,0,5,0,0,3,0,0,27,0,36,6,2,0,0,2,1,1,0,8,0,0,0,0,0,0,0,0,27,9,2,0,0,0,0,0,0,robeb003,markn001,valed001,jonea003,wietm001,hardj003,pears001,pridj001,schoj001,gonzm003,wietm001,pears001,schoj001,valed001,hardj003,pridj001,jonea003,markn001,robeb003,20130926,0,BAL12,h,TOR,1,0,0,regular,y,y
CHA201309260,KCA,0,0,0,2,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,6,yoste001,value,36,34,3,7,0,0,1,2,0,0,1,1,0,7,0,0,0,0,0,27,0,34,6,1,0,2,2,2,1,0,7,1,0,0,0,0,0,1,0,27,10,0,0,0,0,0,0,1,gorda001,cirip001,hosme001,butlb003,mousm001,maxwj002,lougd001,kottg001,getzc001,guthj001,kottg001,hosme001,getzc001,mousm001,cirip001,gorda001,maxwj002,lougd001,butlb003,20130926,0,CHI12,v,CHA,1,0,0,regular,y,y
CHA201309260,CHA,0,1,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,5,ventr001,value,34,32,2,6,1,0,2,2,0,0,1,1,0,7,0,1,0,0,0,27,0,36,7,0,0,1,3,2,1,0,7,1,1,0,0,0,0,0,0,27,14,1,0,0,0,1,0,0,deaza001,semim001,gillc001,konep001,dunna001,garca003,vicid001,beckg001,andeb005,riena001,andeb005,konep001,beckg001,gillc001,semim001,vicid001,deaza001,garca003,dunna001,20130926,0,CHI12,h,KCA,0,1,0,regular,y,y
