gid,id,team,p_seq,stattype,p_ipouts,p_noout,p_bfp,p_h,p_d,p_t,p_hr,p_r,p_er,p_w,p_iw,p_k,p_hbp,p_wp,p_bk,p_sh,p_sf,p_sb,p_cs,p_pb,wp,lp,save,p_gs,p_gf,p_cg,date,number,site,vishome,opp,win,loss,tie,gametype,box,pbp
ARI201803290,grayj003,COL,1,value,12,3,21,6,1,0,0,3,3,3,0,4,0,0,0,0,0,0,0,0,,1,,1,,,20180329,0,PHO01,v,ARI,0,1,0,regular,y,y
ARI201803290,rusic001,COL,2,value,4,0,7,2,0,0,0,3,3,1,0,1,0,0,0,0,0,0,0,0,,,,,,,20180329,0,PHO01,v,ARI,0,1,0,regular,y,y
ARI201803290,obers001,COL,3,value,2,0,4,1,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,,,,,,,20180329,0,PHO01,v,ARI,0,1,0,regular,y,y
ARI201803290,dunnm002,COL,4,value,3,0,6,3,1,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,,,,,,,20180329,0,PHO01,v,ARI,0,1,0,regular,y,y
ARI201803290,ottaa001,COL,5,value,3,0,4,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,,,,,1,,20180329,0,PHO01,v,ARI,0,1,0,regular,y,y
ARI201803290,corbp001,ARI,1,value,17,0,24,7,0,0,2,2,2,1,0,8,0,0,0,1,0,0,0,0,1,,,1,,,20180329,0,PHO01,h,COL,1,0,0,regular,y,y
ARI201803290,delaj001,ARI,2,value,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,20180329,0,PHO01,h,COL,1,0,0,regular,y,y
ARI201803290,hiray001,ARI,3,value,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,20180329,0,PHO01,h,COL,1,0,0,regular,y,y
ARI201803290,chafa001,ARI,4,value,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,,,,,,20180329,0,PHO01,h,COL,1,0,0,regular,y,y
ARI201803290,brada001,ARI,5,value,5,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,,,,,,20180329,0,PHO01,h,COL,1,0,0,regular,y,y
ARI201803290,salaf001,ARI,6,value,3,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,1,,20180329,0,PHO01,h,COL,1,0,0,regular,y,y
ATL201803290,nolaa001,PHI,1,value,16,0,20,3,1,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0,,,,1,,,20180329,0,ATL03,v,ATL,0,1,0,regular,y,y
ATL201803290,milnh001,PHI,2,value,1,0,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,20180329,0,ATL03,v,ATL,0,1,0,regular,y,y
ATL201803290,garcl005,PHI,3,value,3,0,5,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,,,,,20180329,0,ATL03,v,ATL,0,1,0,regular,y,y
ATL201803290,morga001,PHI,4,value,2,0,4,1,0,0,1,2,2,1,0,1,0,0,0,0,0,0,0,0,,,,,,,20180329,0,ATL03,v,ATL,0,1,0,regular,y,y
ATL201803290,ramoe002,PHI,5,value,2,0,4,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,,,,,,,20180329,0,ATL03,v,ATL,0,1,0,regular,y,y
ATL201803290,nerih001,PHI,6,value,2,0,5,2,0,0,1,3,3,1,1,0,0,0,0,1,0,0,0,0,,1,,,1,,20180329,0,ATL03,v,ATL,0,1,0,regular,y,y
ATL201803290,tehej001,ATL,1,value,17,0,23,4,1,0,1,4,4,3,0,3,1,1,0,0,0,1,0,0,,,,1,,,20180329,0,ATL03,h,PHI,1,0,0,regular,y,y
ATL201803290,brotr001,ATL,2,value,0,0,2,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,,,,,,,20180329,0,ATL03,h,PHI,1,0,0,regular,y,y
ATL201803290,winkd001,ATL,3,value,4,0,5,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,,,,,,20180329,0,ATL03,h,PHI,1,0,0,regular,y,y
ATL201803290,moylp001,ATL,4,value,2,0,4,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,,,,,,,20180329,0,ATL03,h,PHI,1,0,0,regular,y,y
ATL201803290,frees001,ATL,5,value,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,20180329,0,ATL03,h,PHI,1,0,0,regular,y,y
ATL201803290,vizca001,ATL,6,value,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,,,,1,,20180329,0,ATL03,h,PHI,1,0,0,regular,y,y
BAL201803290,odorj001,MIN,1,value,18,0,22,2,1,0,0,0,0,2,0,7,0,0,0,0,0,1,0,0,,,,1,,,20180329,0,BAL12,v,BAL,0,1,0,regular,y,y
BAL201803290,dukez001,MIN,2,value,3,0,6,1,0,1,0,2,2,1,1,4,0,2,0,0,0,0,0,0,,,,,,,20180329,0,BAL12,v,BAL,0,1,0,regular,y,y
BAL201803290,reeda001,MIN,3,value,6,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,,,,,,20180329,0,BAL12,v,BAL,0,1,0,regular,y,y
BAL201803290,hildt001,MIN,4,value,1,0,3,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,,,,,,,20180329,0,BAL12,v,BAL,0,1,0,regular,y,y
BAL201803290,rodnf001,MIN,5,value,2,1,3,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,1,,,1,,20180329,0,BAL12,v,BAL,0,1,0,regular,y,y
BAL201803290,bundd001,BAL,1,value,21,0,26,5,0,0,0,0,0,1,0,7,0,0,0,0,0,2,0,0,,,,1,,,20180329,0,BAL12,h,MIN,1,0,0,regular,y,y
BAL201803290,odayd001,BAL,2,value,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,20180329,0,BAL12,h,MIN,1,0,0,regular,y,y
BAL201803290,bracb001,BAL,3,value,2,0,6,2,0,0,0,2,2,2,0,2,0,0,0,0,0,0,0,1,,,,,,,20180329,0,BAL12,h,MIN,1,0,0,regular,y,y
BAL201803290,givem001,BAL,4,value,4,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,20180329,0,BAL12,h,MIN,1,0,0,regular,y,y
BAL201803290,bleir001,BAL,5,value,3,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,,1,,20180329,0,BAL12,h,MIN,1,0,0,regular,y,y
KCA201803290,shiej002,CHA,1,value,18,0,25,5,1,0,1,4,4,1,0,0,1,0,0,0,0,0,0,0,1,,,1,,,20180329,0,KAN06,v,KCA,1,0,0,regular,y,y
KCA201803290,infag001,CHA,2,value,3,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,20180329,0,KAN06,v,KCA,1,0,0,regular,y,y
KCA201803290,avill001,CHA,3,value,3,0,5,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,20180329,0,KAN06,v,KCA,1,0,0,regular,y,y
KCA201803290,minaj001,CHA,4,value,2,0,4,1,0,0,0,2,2,1,0,1,0,2,0,0,0,0,0,0,,,,,,,20180329,0,KAN06,v,KCA,1,0,0,regular,y,y
KCA201803290,bumma001,CHA,5,value,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,20180329,0,KAN06,v,KCA,1,0,0,regular,y,y
KCA201803290,duffd001,KCA,1,value,12,0,20,7,3,0,3,5,5,2,0,5,0,0,0,0,0,0,0,0,,1,,1,,,20180329,0,KAN06,h,CHA,0,1,0,regular,y,y
KCA201803290,boyeb001,KCA,2,value,3,0,6,2,0,0,2,3,3,1,0,0,0,0,0,0,0,0,0,1,,,,,,,20180329,0,KAN06,h,CHA,0,1,0,regular,y,y
KCA201803290,kellb003,KCA,3,value,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,20180329,0,KAN06,h,CHA,0,1,0,regular,y,y
KCA201803290,grimj002,KCA,4,value,1,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,20180329,0,KAN06,h,CHA,0,1,0,regular,y,y
KCA201803290,hillt002,KCA,5,value,1,0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,,,,,,,20180329,0,KAN06,h,CHA,0,1,0,regular,y,y
KCA201803290,smitb005,KCA,6,value,0,0,3,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,,,,,,,20180329,0,KAN06,h,CHA,0,1,0,regular,y,y
KCA201803290,flynb001,KCA,7,value,4,0,7,4,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,20180329,0,KAN06,h,CHA,0,1,0,regular,y,y
KCA201803290,maurb001,KCA,8,value,2,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,,,,,,20180329,0,KAN06,h,CHA,0,1,0,regular,y,y
KCA201803290,herrk001,KCA,9,value,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,20180329,0,KAN06,h,CHA,0,1,0,regular,y,y
LAN201803290,blact002,SFN,1,value,15,0,19,3,0,0,0,0,0,3,0,3,0,0,0,0,0,1,0,0,1,,,1,,,20180329,0,LOS03,v,LAN,1,0,0,regular,y,y
LAN201803290,osicj001,SFN,2,value,3,0,4,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,,,,,,,20180329,0,LOS03,v,LAN,1,0,0,regular,y,y
LAN201803290,gearc001,SFN,3,value,3,0,5,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,,,,,,20180329,0,LOS03,v,LAN,1,0,0,regular,y,y
LAN201803290,watst001,SFN,4,value,3,0,4,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,,,,,,,20180329,0,LOS03,v,LAN,1,0,0,regular,y,y
LAN201803290,strih001,SFN,5,value,3,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,1,,1,,20180329,0,LOS03,v,LAN,1,0,0,regular,y,y
LAN201803290,kersc001,LAN,1,value,18,0,27,8,2,0,1,1,1,2,0,7,0,0,0,0,0,0,0,0,,1,,1,,,20180329,0,LOS03,h,SFN,0,1,0,regular,y,y
LAN201803290,charj001,LAN,2,value,3,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,,,,,,20180329,0,LOS03,h,SFN,0,1,0,regular,y,y
LAN201803290,fielj002,LAN,3,value,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,20180329,0,LOS03,h,SFN,0,1,0,regular,y,y
LAN201803290,cingt001,LAN,4,value,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,1,,20180329,0,LOS03,h,SFN,0,1,0,regular,y,y
MIA201803290,lestj001,CHN,1,value,10,0,20,7,1,1,0,4,3,3,0,2,0,0,0,0,0,0,0,0,,,,1,,,20180329,0,MIA02,v,MIA,1,0,0,regular,y,y
MIA201803290,cishs001,CHN,2,value,5,0,7,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,,,,,,20180329,0,MIA02,v,MIA,1,0,0,regular,y,y
MIA201803290,duenb001,CHN,3,value,3,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,,,,,,20180329,0,MIA02,v,MIA,1,0,0,regular,y,y
MIA201803290,strop001,CHN,4,value,3,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,,,,,,20180329,0,MIA02,v,MIA,1,0,0,regular,y,y
MIA201803290,wilsj004,CHN,5,value,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,20180329,0,MIA02,v,MIA,1,0,0,regular,y,y
MIA201803290,montm002,CHN,6,value,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,1,,20180329,0,MIA02,v,MIA,1,0,0,regular,y,y
MIA201803290,urenj001,MIA,1,value,12,0,24,6,3,0,2,5,5,4,2,2,3,0,0,0,0,0,0,0,,1,,1,,,20180329,0,MIA02,h,CHN,0,1,0,regular,y,y
MIA201803290,ograc001,MIA,2,value,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,20180329,0,MIA02,h,CHN,0,1,0,regular,y,y
MIA201803290,guert001,MIA,3,value,4,0,7,2,0,0,1,3,2,0,0,4,0,0,0,0,0,0,0,0,,,,,,,20180329,0,MIA02,h,CHN,0,1,0,regular,y,y
MIA201803290,stecd001,MIA,4,value,2,0,3,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,,,,,,,20180329,0,MIA02,h,CHN,0,1,0,regular,y,y
MIA201803290,tazaj001,MIA,5,value,6,0,7,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,,,,,1,,20180329,0,MIA02,h,CHN,0,1,0,regular,y,y
NYN201803290,martc006,SLN,1,value,13,0,24,4,2,0,0,5,4,6,0,5,1,0,0,0,0,0,0,0,,1,,1,,,20180329,0,NYC20,v,NYN,0,1,0,regular,y,y
NYN201803290,bowmm001,SLN,2,value,1,0,5,3,0,0,0,3,3,1,0,0,0,0,0,1,0,0,0,0,,,,,,,20180329,0,NYC20,v,NYN,0,1,0,regular,y,y
NYN201803290,cecib001,SLN,3,value,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,20180329,0,NYC20,v,NYN,0,1,0,regular,y,y
NYN201803290,mayem001,SLN,4,value,3,0,5,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,20180329,0,NYC20,v,NYN,0,1,0,regular,y,y
NYN201803290,hickj002,SLN,5,value,3,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,20180329,0,NYC20,v,NYN,0,1,0,regular,y,y
NYN201803290,tuivs001,SLN,6,value,3,0,5,1,0,0,0,1,1,2,0,1,0,2,0,0,0,0,0,0,,,,,1,,20180329,0,NYC20,v,NYN,0,1,0,regular,y,y
NYN201803290,syndn001,NYN,1,value,18,0,24,6,1,0,2,4,4,0,0,10,0,0,0,0,0,0,0,0,1,,,1,,,20180329,0,NYC20,h,SLN,1,0,0,regular,y,y
NYN201803290,gselr001,NYN,2,value,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,,,,,,20180329,0,NYC20,h,SLN,1,0,0,regular,y,y
NYN201803290,swara001,NYN,3,value,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,20180329,0,NYC20,h,SLN,1,0,0,regular,y,y
NYN201803290,famij001,NYN,4,value,3,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,,,,1,,20180329,0,NYC20,h,SLN,1,0,0,regular,y,y
OAK201803290,richg002,ANA,1,value,15,0,24,7,1,0,2,4,4,3,0,4,0,0,0,0,0,0,0,0,,,,1,,,20180329,0,OAK01,v,OAK,0,1,0,regular,y,y
OAK201803290,woodb004,ANA,2,value,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,20180329,0,OAK01,v,OAK,0,1,0,regular,y,y
OAK201803290,bedrc001,ANA,3,value,1,0,4,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,20180329,0,OAK01,v,OAK,0,1,0,regular,y,y
OAK201803290,alvaj003,ANA,4,value,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,20180329,0,OAK01,v,OAK,0,1,0,regular,y,y
OAK201803290,middk001,ANA,5,value,4,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,20180329,0,OAK01,v,OAK,0,1,0,regular,y,y
OAK201803290,johnj010,ANA,6,value,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,20180329,0,OAK01,v,OAK,0,1,0,regular,y,y
OAK201803290,ramin002,ANA,7,value,4,0,8,2,0,1,0,1,1,2,1,3,0,0,0,0,0,0,0,0,,1,,,1,,20180329,0,OAK01,v,OAK,0,1,0,regular,y,y
OAK201803290,gravk001,OAK,1,value,15,1,22,7,1,1,3,5,5,0,0,1,0,0,0,0,0,0,0,0,,,,1,,,20180329,0,OAK01,h,ANA,1,0,0,regular,y,y
OAK201803290,buchr001,OAK,2,value,3,0,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,,,,,,,20180329,0,OAK01,h,ANA,1,0,0,regular,y,y
OAK201803290,petiy001,OAK,3,value,6,0,7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,20180329,0,OAK01,h,ANA,1,0,0,regular,y,y
OAK201803290,treib001,OAK,4,value,6,0,9,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,20180329,0,OAK01,h,ANA,1,0,0,regular,y,y
OAK201803290,hatcc002,OAK,5,value,3,0,5,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,,,,1,,20180329,0,OAK01,h,ANA,1,0,0,regular,y,y
