gid,id,team,p_seq,stattype,p_ipouts,p_noout,p_bfp,p_h,p_d,p_t,p_hr,p_r,p_er,p_w,p_iw,p_k,p_hbp,p_wp,p_bk,p_sh,p_sf,p_sb,p_cs,p_pb,wp,lp,save,p_gs,p_gf,p_cg,date,number,site,vishome,opp,win,loss,tie,gametype,box,pbp
ARI201704020,bumgm001,SFN,1,value,21,0,27,6,0,1,1,3,3,0,0,11,0,0,0,0,0,0,0,0,,,,1,,,20170402,0,PHO01,v,ARI,0,1,0,regular,y,y
ARI201704020,law-d001,SFN,2,value,0,3,3,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,20170402,0,PHO01,v,ARI,0,1,0,regular,y,y
ARI201704020,blact002,SFN,3,value,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,20170402,0,PHO01,v,ARI,0,1,0,regular,y,y
ARI201704020,strih001,SFN,4,value,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,20170402,0,PHO01,v,ARI,0,1,0,regular,y,y
ARI201704020,melam001,SFN,5,value,2,0,6,4,1,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,,1,,,1,,20170402,0,PHO01,v,ARI,0,1,0,regular,y,y
ARI201704020,greiz001,ARI,1,value,15,0,21,4,1,0,1,2,2,2,0,4,0,0,0,0,1,1,0,0,,,,1,,,20170402,0,PHO01,h,SFN,1,0,0,regular,y,y
ARI201704020,wilht001,ARI,2,value,1,0,3,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,20170402,0,PHO01,h,SFN,1,0,0,regular,y,y
ARI201704020,delaj001,ARI,3,value,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,,,,,,20170402,0,PHO01,h,SFN,1,0,0,regular,y,y
ARI201704020,chafa001,ARI,4,value,3,0,4,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,,,,,,,20170402,0,PHO01,h,SFN,1,0,0,regular,y,y
ARI201704020,hoovj002,ARI,5,value,3,0,5,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,,,,,,,20170402,0,PHO01,h,SFN,1,0,0,regular,y,y
ARI201704020,rodnf001,ARI,6,value,3,0,7,2,0,1,0,1,1,2,0,0,0,2,0,0,1,0,0,0,1,,,,1,,20170402,0,PHO01,h,SFN,1,0,0,regular,y,y
SLN201704020,lestj001,CHN,1,value,15,2,24,7,1,0,0,1,1,2,0,7,0,0,0,0,1,2,0,0,,,,1,,,20170402,0,STL10,v,SLN,0,1,0,regular,y,y
SLN201704020,edwac001,CHN,2,value,3,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,,,,,,20170402,0,STL10,v,SLN,0,1,0,regular,y,y
SLN201704020,uehak001,CHN,3,value,3,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,20170402,0,STL10,v,SLN,0,1,0,regular,y,y
SLN201704020,strop001,CHN,4,value,3,0,6,1,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,,,,,,,20170402,0,STL10,v,SLN,0,1,0,regular,y,y
SLN201704020,montm002,CHN,5,value,2,0,6,2,1,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,,1,,,1,,20170402,0,STL10,v,SLN,0,1,0,regular,y,y
SLN201704020,martc006,SLN,1,value,22,0,27,6,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,,,,1,,,20170402,0,STL10,h,CHN,1,0,0,regular,y,y
