gid,id,team,p_seq,stattype,p_ipouts,p_noout,p_bfp,p_h,p_d,p_t,p_hr,p_r,p_er,p_w,p_iw,p_k,p_hbp,p_wp,p_bk,p_sh,p_sf,p_sb,p_cs,p_pb,wp,lp,save,p_gs,p_gf,p_cg,date,number,site,vishome,opp,win,loss,tie,gametype,box,pbp
HOU201303310,harrm001,TEX,1,value,17,0,25,6,0,1,0,6,5,3,0,9,0,0,0,0,0,0,0,0,,1,,1,,,20130331,0,HOU03,v,HOU,0,1,0,regular,y,y
HOU201303310,lowed001,TEX,2,value,1,0,2,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,,,,,,,20130331,0,HOU03,v,HOU,0,1,0,regular,y,y
HOU201303310,frasj002,TEX,3,value,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,20130331,0,HOU03,v,HOU,0,1,0,regular,y,y
HOU201303310,ortij004,TEX,4,value,3,0,5,2,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,,,,,1,,20130331,0,HOU03,v,HOU,0,1,0,regular,y,y
HOU201303310,norrb001,HOU,1,value,17,0,24,5,0,0,0,2,2,3,0,5,0,0,0,0,0,0,1,0,1,,,1,,,20130331,0,HOU03,h,TEX,1,0,0,regular,y,y
HOU201303310,bedae001,HOU,2,value,10,0,11,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,,1,,1,,20130331,0,HOU03,h,TEX,1,0,0,regular,y,y
ARI201304010,waina001,SLN,1,value,18,0,27,11,4,0,0,4,3,0,0,6,0,0,0,0,0,0,1,0,,1,,1,,,20130401,0,PHO01,v,ARI,0,1,0,regular,y,y
ARI201304010,salaf001,SLN,2,value,0,3,3,3,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,20130401,0,PHO01,v,ARI,0,1,0,regular,y,y
ARI201304010,rzepm001,SLN,3,value,3,0,4,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,,,,,,,20130401,0,PHO01,v,ARI,0,1,0,regular,y,y
ARI201304010,kellj001,SLN,4,value,3,0,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,1,,20130401,0,PHO01,v,ARI,0,1,0,regular,y,y
