gid,id,team,p_seq,stattype,p_ipouts,p_noout,p_bfp,p_h,p_d,p_t,p_hr,p_r,p_er,p_w,p_iw,p_k,p_hbp,p_wp,p_bk,p_sh,p_sf,p_sb,p_cs,p_pb,wp,lp,save,p_gs,p_gf,p_cg,date,number,site,vishome,opp,win,loss,tie,gametype,box,pbp
KCA201604030,harvm001,NYN,1,value,17,0,25,8,0,0,0,4,3,2,0,2,0,0,0,0,1,1,0,1,,1,,1,,,20160403,0,KAN06,v,KCA,0,1,0,regular,y,y
KCA201604030,colob001,NYN,2,value,4,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,20160403,0,KAN06,v,KCA,0,1,0,regular,y,y
KCA201604030,blevj001,NYN,3,value,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,20160403,0,KAN06,v,KCA,0,1,0,regular,y,y
KCA201604030,volqe001,KCA,1,value,18,0,22,2,0,0,0,0,0,3,0,5,0,0,0,0,0,0,1,0,1,,,1,,,20160403,0,KAN06,h,NYN,1,0,0,regular,y,y
KCA201604030,herrk001,KCA,2,value,3,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,20160403,0,KAN06,h,NYN,1,0,0,regular,y,y
KCA201604030,sorij001,KCA,3,value,2,0,7,3,0,0,0,3,3,2,0,1,0,0,0,0,0,0,0,0,,,,,,,20160403,0,KAN06,h,NYN,1,0,0,regular,y,y
KCA201604030,hochl001,KCA,4,value,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,20160403,0,KAN06,h,NYN,1,0,0,regular,y,y
KCA201604030,daviw001,KCA,5,value,3,0,5,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,,,1,,1,,20160403,0,KAN06,h,NYN,1,0,0,regular,y,y
PIT201604030,waina001,SLN,1,value,18,0,26,6,1,1,0,3,3,3,0,3,1,0,0,0,1,0,0,0,,1,,1,,,20160403,0,PIT08,v,PIT,0,1,0,regular,y,y
PIT201604030,oh--s001,SLN,2,value,3,0,5,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,,,,,,,20160403,0,PIT08,v,PIT,0,1,0,regular,y,y
PIT201604030,manes001,SLN,3,value,3,0,5,3,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,,,,,1,,20160403,0,PIT08,v,PIT,0,1,0,regular,y,y
PIT201604030,lirif001,PIT,1,value,18,0,26,3,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,1,,,1,,,20160403,0,PIT08,h,SLN,1,0,0,regular,y,y
PIT201604030,watst001,PIT,2,value,3,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,,,,,,20160403,0,PIT08,h,SLN,1,0,0,regular,y,y
PIT201604030,felin001,PIT,3,value,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,20160403,0,PIT08,h,SLN,1,0,0,regular,y,y
PIT201604030,melam001,PIT,4,value,3,0,6,2,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,,,,,1,,20160403,0,PIT08,h,SLN,1,0,0,regular,y,y
TBA201604030,strom001,TOR,1,value,24,2,32,6,1,0,1,3,3,1,0,5,0,0,0,0,0,0,1,0,1,,,1,,,20160403,0,STP01,v,TBA,1,0,0,regular,y,y
TBA201604030,osunr001,TOR,2,value,3,0,4,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,,,1,,1,,20160403,0,STP01,v,TBA,1,0,0,regular,y,y
TBA201604030,archc001,TBA,1,value,15,0,24,5,1,0,0,3,2,3,0,12,0,1,0,0,0,0,0,0,,1,,1,,,20160403,0,STP01,h,TOR,0,1,0,regular,y,y
TBA201604030,romee002,TBA,2,value,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,20160403,0,STP01,h,TOR,0,1,0,regular,y,y
TBA201604030,webbr001,TBA,3,value,4,0,6,2,0,0,1,2,2,0,0,1,0,0,0,0,0,0,0,0,,,,,,,20160403,0,STP01,h,TOR,0,1,0,regular,y,y
TBA201604030,eveld001,TBA,4,value,5,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,,,,1,,20160403,0,STP01,h,TOR,0,1,0,regular,y,y
ANA201604040,arrij001,CHN,1,value,21,0,23,2,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,1,,,1,,,20160404,0,ANA01,v,ANA,1,0,0,regular,y,y
ANA201604040,grimj002,CHN,2,value,3,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,20160404,0,ANA01,v,ANA,1,0,0,regular,y,y
ANA201604040,woodt004,CHN,3,value,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,1,,20160404,0,ANA01,v,ANA,1,0,0,regular,y,y
ANA201604040,richg002,ANA,1,value,15,0,22,6,1,0,0,3,3,3,0,7,0,0,0,0,0,0,0,0,,1,,1,,,20160404,0,ANA01,h,CHN,0,1,0,regular,y,y
ANA201604040,salaf001,ANA,2,value,3,0,5,1,0,0,1,2,2,1,0,2,0,0,0,0,0,0,0,0,,,,,,,20160404,0,ANA01,h,CHN,0,1,0,regular,y,y
ANA201604040,bedrc001,ANA,3,value,3,0,6,2,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,,,,,,,20160404,0,ANA01,h,CHN,0,1,0,regular,y,y
ANA201604040,morim002,ANA,4,value,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,20160404,0,ANA01,h,CHN,0,1,0,regular,y,y
ANA201604040,rasmc002,ANA,5,value,3,0,8,2,1,0,0,3,3,2,0,1,0,0,0,0,0,0,0,0,,,,,1,,20160404,0,ANA01,h,CHN,0,1,0,regular,y,y
ARI201604040,delaj001,COL,1,value,14,0,25,8,1,0,1,5,5,2,0,8,0,1,0,0,0,0,0,0,,,,1,,,20160404,0,PHO01,v,ARI,1,0,0,regular,y,y
ARI201604040,millj006,COL,2,value,4,0,5,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,20160404,0,PHO01,v,ARI,1,0,0,regular,y,y
ARI201604040,logab001,COL,3,value,5,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,,,,,,20160404,0,PHO01,v,ARI,1,0,0,regular,y,y
ARI201604040,qualc001,COL,4,value,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,20160404,0,PHO01,v,ARI,1,0,0,regular,y,y
ARI201604040,castm002,COL,5,value,3,0,5,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,,,,,1,,20160404,0,PHO01,v,ARI,1,0,0,regular,y,y
ARI201604040,greiz001,ARI,1,value,12,0,22,9,2,0,3,7,7,1,0,2,0,0,0,0,0,1,0,0,,1,,1,,,20160404,0,PHO01,h,COL,0,1,0,regular,y,y
ARI201604040,barrj002,ARI,2,value,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,20160404,0,PHO01,h,COL,0,1,0,regular,y,y
ARI201604040,delgr001,ARI,3,value,5,0,8,2,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,,,,,,,20160404,0,PHO01,h,COL,0,1,0,regular,y,y
ARI201604040,chafa001,ARI,4,value,3,0,5,1,0,0,0,2,2,1,0,1,0,0,0,0,0,0,0,0,,,,,,,20160404,0,PHO01,h,COL,0,1,0,regular,y,y
ARI201604040,bracs001,ARI,5,value,4,0,8,2,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,,,,,1,,20160404,0,PHO01,h,COL,0,1,0,regular,y,y
ATL201604040,schem001,WAS,1,value,21,0,25,3,0,0,2,2,2,2,0,7,0,0,0,0,0,0,0,0,,,,1,,,20160404,0,ATL02,v,ATL,1,0,0,regular,y,y
