gid,id,team,p_seq,stattype,p_ipouts,p_noout,p_bfp,p_h,p_d,p_t,p_hr,p_r,p_er,p_w,p_iw,p_k,p_hbp,p_wp,p_bk,p_sh,p_sf,p_sb,p_cs,p_pb,wp,lp,save,p_gs,p_gf,p_cg,date,number,site,vishome,opp,win,loss,tie,gametype,box,pbp
ARI201403220,kersc001,LAN,1,value,20,0,27,5,1,0,0,1,1,1,0,7,0,1,0,0,0,0,0,0,1,,,1,,,20140322,0,SYD01,v,ARI,1,0,0,regular,y,y
ARI201403220,perec002,LAN,2,value,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,20140322,0,SYD01,v,ARI,1,0,0,regular,y,y
ARI201403220,wilsb001,LAN,3,value,3,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,,,,,,20140322,0,SYD01,v,ARI,1,0,0,regular,y,y
ARI201403220,jansk001,LAN,4,value,3,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,,1,,1,,20140322,0,SYD01,v,ARI,1,0,0,regular,y,y
ARI201403220,milew001,ARI,1,value,15,0,22,3,1,0,1,3,3,2,0,8,0,1,0,0,0,0,0,0,,1,,1,,,20140322,0,SYD01,h,LAN,0,1,0,regular,y,y
ARI201403220,harrw002,ARI,2,value,6,0,6,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,,,,,,20140322,0,SYD01,h,LAN,0,1,0,regular,y,y
ARI201403220,ziegb001,ARI,3,value,3,0,5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,20140322,0,SYD01,h,LAN,0,1,0,regular,y,y
ARI201403220,pereo002,ARI,4,value,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,20140322,0,SYD01,h,LAN,0,1,0,regular,y,y
ARI201403220,putzj001,ARI,5,value,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,20140322,0,SYD01,h,LAN,0,1,0,regular,y,y
ARI201403230,ryu-h001,LAN,1,value,15,0,19,2,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,1,,,1,,,20140323,0,SYD01,v,ARI,1,0,0,regular,y,y
ARI201403230,withc001,LAN,2,value,3,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,20140323,0,SYD01,v,ARI,1,0,0,regular,y,y
ARI201403230,rodrp001,LAN,3,value,2,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,20140323,0,SYD01,v,ARI,1,0,0,regular,y,y
ARI201403230,wrigj001,LAN,4,value,2,0,6,2,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,,,,,,,20140323,0,SYD01,v,ARI,1,0,0,regular,y,y
ARI201403230,howej003,LAN,5,value,2,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,,,,,,20140323,0,SYD01,v,ARI,1,0,0,regular,y,y
ARI201403230,domij002,LAN,6,value,1,0,4,1,0,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,,,,,,,20140323,0,SYD01,v,ARI,1,0,0,regular,y,y
ARI201403230,mahop002,LAN,7,value,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,20140323,0,SYD01,v,ARI,1,0,0,regular,y,y
ARI201403230,jansk001,LAN,8,value,1,0,2,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,,,,,1,,20140323,0,SYD01,v,ARI,1,0,0,regular,y,y
ARI201403230,cahit001,ARI,1,value,12,2,23,8,1,0,0,5,5,4,0,1,1,0,0,1,1,1,0,0,,1,,1,,,20140323,0,SYD01,h,LAN,0,1,0,regular,y,y
ARI201403230,collj001,ARI,2,value,3,3,7,3,2,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,,,,,,,20140323,0,SYD01,h,LAN,0,1,0,regular,y,y
ARI201403230,thatj001,ARI,3,value,4,0,4,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,,,,,,,20140323,0,SYD01,h,LAN,0,1,0,regular,y,y
ARI201403230,delgr001,ARI,4,value,2,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,,,,,20140323,0,SYD01,h,LAN,0,1,0,regular,y,y
ARI201403230,schub001,ARI,5,value,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,20140323,0,SYD01,h,LAN,0,1,0,regular,y,y
ARI201403230,reeda001,ARI,6,value,3,0,5,0,0,0,0,0,0,1,0,3,1,1,0,0,0,0,0,0,,,,,1,,20140323,0,SYD01,h,LAN,0,1,0,regular,y,y
SDN201403300,ryu-h001,LAN,1,value,21,0,25,3,0,0,0,0,0,3,0,7,0,0,0,1,0,0,0,0,,,,1,,,20140330,0,SAN02,v,SDN,0,1,0,regular,y,y
SDN201403300,wilsb001,LAN,2,value,0,5,5,2,0,0,1,3,2,1,0,0,0,0,0,1,0,1,0,0,,1,,,,,20140330,0,SAN02,v,SDN,0,1,0,regular,y,y
SDN201403300,perec002,LAN,3,value,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,20140330,0,SAN02,v,SDN,0,1,0,regular,y,y
SDN201403300,rodrp001,LAN,4,value,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,,,,1,,20140330,0,SAN02,v,SDN,0,1,0,regular,y,y
SDN201403300,casha001,SDN,1,value,18,0,24,4,0,0,0,1,1,2,0,5,0,0,0,0,0,0,0,0,,,,1,,,20140330,0,SAN02,h,LAN,1,0,0,regular,y,y
SDN201403300,vincn001,SDN,2,value,2,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,,,,,,20140330,0,SAN02,h,LAN,1,0,0,regular,y,y
SDN201403300,torra002,SDN,3,value,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,,,,,,20140330,0,SAN02,h,LAN,1,0,0,regular,y,y
SDN201403300,thayd001,SDN,4,value,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,20140330,0,SAN02,h,LAN,1,0,0,regular,y,y
SDN201403300,streh001,SDN,5,value,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,1,,1,,20140330,0,SAN02,h,LAN,1,0,0,regular,y,y
ANA201403310,hernf002,SEA,1,value,18,0,25,4,1,0,1,3,2,1,0,11,1,2,0,0,0,1,0,0,1,,,1,,,20140331,0,ANA01,v,ANA,1,0,0,regular,y,y
ANA201403310,mediy001,SEA,2,value,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,20140331,0,ANA01,v,ANA,1,0,0,regular,y,y
