gid,id,team,p_seq,stattype,p_ipouts,p_noout,p_bfp,p_h,p_d,p_t,p_hr,p_r,p_er,p_w,p_iw,p_k,p_hbp,p_wp,p_bk,p_sh,p_sf,p_sb,p_cs,p_pb,wp,lp,save,p_gs,p_gf,p_cg,date,number,site,vishome,opp,win,loss,tie,gametype,box,pbp
OAK201903200,gonzm005,SEA,1,value,18,0,25,7,3,0,2,4,3,1,0,4,0,0,0,0,0,0,0,0,1,,,1,,,20190320,0,TOK01,v,OAK,1,0,0,regular,y,y
OAK201903200,rumbn001,SEA,2,value,1,0,4,2,0,0,1,3,3,1,0,1,0,1,0,0,0,0,0,0,,,,,,,20190320,0,TOK01,v,OAK,1,0,0,regular,y,y
OAK201903200,gearc001,SEA,3,value,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,20190320,0,TOK01,v,OAK,1,0,0,regular,y,y
OAK201903200,rossz001,SEA,4,value,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,20190320,0,TOK01,v,OAK,1,0,0,regular,y,y
OAK201903200,strih001,SEA,5,value,3,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,,1,,1,,20190320,0,TOK01,v,OAK,1,0,0,regular,y,y
OAK201903200,fierm001,OAK,1,value,9,0,16,4,0,0,1,5,5,2,0,3,1,2,0,0,0,1,0,0,,1,,1,,,20190320,0,TOK01,h,SEA,0,1,0,regular,y,y
OAK201903200,hendl001,OAK,2,value,3,0,5,0,0,0,0,1,1,2,0,1,0,0,0,1,1,0,0,0,,,,,,,20190320,0,TOK01,h,SEA,0,1,0,regular,y,y
OAK201903200,dullr001,OAK,3,value,2,0,5,2,1,0,1,3,3,1,0,1,0,0,0,0,0,0,0,0,,,,,,,20190320,0,TOK01,h,SEA,0,1,0,regular,y,y
OAK201903200,buchr001,OAK,4,value,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,20190320,0,TOK01,h,SEA,0,1,0,regular,y,y
OAK201903200,wendj001,OAK,5,value,6,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,,,,,,20190320,0,TOK01,h,SEA,0,1,0,regular,y,y
OAK201903200,rodnf001,OAK,6,value,3,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,,,,,,,20190320,0,TOK01,h,SEA,0,1,0,regular,y,y
OAK201903200,trivl001,OAK,7,value,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,,,,1,,20190320,0,TOK01,h,SEA,0,1,0,regular,y,y
